Username,Review,Ratting,1st Analysis
伊藤誠,"Like everyone else, I was eagerly looking forward to the release of the Japanese version.
It was a week before it was released, completely dubbed in Japanese, with no switching function, a
mistranslation far surpassing the previous work, and the appointment of a daikon voice actor.
I can't say anything at all because I'm stunned by the water in my sleep.
I can't hold back my anger at what happened this past month that I've been waiting for.
If I had known this from the beginning of the announcement, I would have bought the North American version right away...

Square Enix should immediately give a clear explanation of the situation
and listen seriously to the live voices of users. If you can't do that,
either withdraw from localization altogether or go bankrupt. seriously.",5,1
ayush rai,The Cd was not working had to be returned. looks it was a fake,1,0
泡イカス,"After all, I'm glad I bought the overseas edition!
I mean, the museum after completing the campaign is too interesting!
It's worth trying at least once.",5,1
父,"I feel like it was interesting.
Is it said that the making was polite.

There were too many enemies in the campaign, didn't they?

I wonder if online was too grelan kitchen too aside and it was tough for amateurs.

But I'm glad that the audio is more powerful than the Japanese version, and I didn't have to worry if there was a translation site.

Overall, it's 2.",2,0
ｴﾙ,"There are a lot of campers and everyone seems to need to go, but are there that many? I'm an Assault Soldier, and I live inside a building and get killed through a wall, but I don't think it's the same as the previous game.
If you are there, this is also great when you act cautiously and take a back seat. It's now easier to kill and easier to kill. Kill 15 or more will go lightly. There are a lot of people who get killed by that amount, but well, I go to the battlefield while thinking and using my head. I wonder if MW2, which took over the data that was made in the previous game, can be done ~.",5,1
ローチ,"I really didn't like dubbing, so I bought the imported version. The sense of realism is great I recommend the imported version without hesitation",5,1
kei,"After all, if it's not an English voice, you won't be able to convey this coolness. the voice of a strange bastard isn't exciting. After all, if this isn't a carnivorous wild father voice, the character's coolness will die. Incidentally, Rogue Warrior was also quite excited by Mickey Rourke's loud voice. As for the content of the game, this one is far superior, so needless to say, it's burning-out.",5,1
Vlidge,It surpasses the previous game in every way!! I'm surprised that this game has a low rating!!,5,1
yuu,"Compared to the previous game, there is no physical strength like hardcore, and you die just by hitting it a bit. I think it's good that the number of weapons, parks, air strike support, etc. has increased a lot, and the factors involved have increased considerably. However, there are many hiding places and buildings in this work, and there are many camps. I felt that people who are camping are overwhelmingly advantageous in this work... There are good points, but there are many bad points, so I can't recommend it very much.",2,0
むか,"COD4 is more fun online.
Or rather online is the most boring game I've ever played.

There are many knife-tied play because you can use a park where the knife hits a wider range, a park that makes your foot faster, and a park that can run forever at the same time.frustrating

Killstreak is too gorgeous, and the end of the game is only an attack from the air.

It is a dung game.",1,0
Vivek Dyundi,The CD provided dint worked. The Dealer should have checked the product before dispatch,1,0
